ConfigID,avg_f1,n_images,target,combo_index
1110,0.6159722222222223,1440,panmao,22
1111,0.9994215277777777,1440,panmao,23
1112,0.6262729166666667,1440,panmao,23
1113,0.8609951388888889,1440,panmao,23
1114,0.6696763888888889,1440,panmao,23
1115,0.6729166666666667,1440,panmao,23
1116,0.8015048611111111,1440,panmao,23
1117,0.2806715277777778,1440,panmao,24
1118,0.3143513888888889,1440,panmao,24
1119,0.00046319444444444446,1440,panmao,24
1120,0.4734951388888889,1440,panmao,24
1121,0.8592597222222222,1440,panmao,24
1122,0.5115743055555556,1440,panmao,24
1123,0.0006944444444444445,1440,panmao,25
1124,0.873842361111111,1440,panmao,25
1125,0.9280097222222221,1440,panmao,25
1126,0.7237270833333332,1440,panmao,25
1127,0.09907361111111111,1440,panmao,25
1128,0.00034722222222222224,1440,panmao,25
1129,0.7094909722222222,1440,panmao,26
1130,0.9990736111111113,1440,panmao,26
1131,0.2203708333333333,1440,panmao,26
1132,0.37835625,1440,panmao,26
1133,0.0004625,1440,panmao,26
1134,0.9271993055555555,1440,panmao,26
1135,0.8127319444444443,1440,panmao,27
1136,0.5671298611111111,1440,panmao,27
1137,0.0006944444444444445,1440,panmao,27
1138,0.0,1440,panmao,27
1139,0.6291666666666667,1440,panmao,27
1140,0.9804402777777779,1440,panmao,27
1141,0.49837916666666665,1440,panmao,28
1142,0.15208333333333332,1440,panmao,28
1143,1.0,1440,panmao,28
1144,0.5144673611111111,1440,panmao,28
1145,0.9005784722222223,1440,panmao,28
1146,0.4289347222222222,1440,panmao,28
1147,0.52210625,1440,panmao,29
1148,0.9993055555555556,1440,panmao,29
1149,0.9996527777777777,1440,panmao,29
1150,0.9994215277777777,1440,panmao,29
1151,0.9210652777777777,1440,panmao,29
1152,0.1917826388888889,1440,panmao,29
1153,0.9993055555555556,1440,panmao,30
1154,0.9993055555555556,1440,panmao,30
1155,0.6641208333333333,1440,panmao,30
1156,0.8549770833333332,1440,panmao,30
1157,0.625,1440,panmao,30
1158,0.54710625,1440,panmao,30
1159,0.34155069444444447,1440,panmao,31
1160,0.5428243055555556,1440,panmao,31
1161,0.4929395833333333,1440,panmao,31
1162,0.5222222222222223,1440,panmao,31
1163,0.9222222222222223,1440,panmao,31
1164,0.7137729166666668,1440,panmao,31
1165,0.00034722222222222224,1440,panmao,32
1166,0.0005784722222222222,1440,panmao,32
1167,0.08402777777777778,1440,panmao,32
1168,0.9993055555555556,1440,panmao,32
1169,0.5945604166666667,1440,panmao,32
1170,0.8015041666666666,1440,panmao,32
1171,0.4076388888888889,1440,panmao,33
1172,0.009722222222222222,1440,panmao,33
1173,0.9996527777777777,1440,panmao,33
1174,0.203125,1440,panmao,33
1175,0.99976875,1440,panmao,33
1176,0.5553243055555556,1440,panmao,33
1177,0.33796319444444445,1440,panmao,34
1178,0.2546291666666667,1440,panmao,34
1179,0.5284722222222222,1440,panmao,34
1180,0.99375,1440,panmao,34
1181,0.5673611111111111,1440,panmao,34
1182,0.2030097222222222,1440,panmao,34
1183,0.09479166666666666,1440,panmao,35
1184,0.29259305555555554,1440,panmao,35
1185,0.5780097222222222,1440,panmao,35
1186,0.9530090277777779,1440,panmao,35
1187,0.0008104166666666666,1440,panmao,35
1188,0.0005784722222222222,1440,panmao,35
1189,0.38645833333333335,1440,panmao,36
1190,0.9995368055555556,1440,panmao,36
1191,0.99976875,1440,panmao,36
1192,0.503125,1440,panmao,36
1193,0.6576388888888889,1440,panmao,36
1194,0.8872680555555557,1440,panmao,36
1195,0.00034722222222222224,1440,panmao,37
1196,0.507407638888889,1440,panmao,37
1197,0.6430555555555556,1440,panmao,37
1198,0.2717597222222222,1440,panmao,37
1199,0.4151618055555556,1440,panmao,37
1200,0.99976875,1440,panmao,37
1201,0.9993055555555556,1440,panmao,38
1202,0.99976875,1440,panmao,38
1203,0.5503472222222222,1440,panmao,38
1204,0.27847222222222223,1440,panmao,38
1205,0.6773145833333333,1440,panmao,38
1206,0.34155069444444447,1440,panmao,38
1207,0.49247708333333334,1440,panmao,39
1208,0.00046319444444444446,1440,panmao,39
1209,0.9577548611111111,1440,panmao,39
1210,0.42476875000000003,1440,panmao,39
1211,0.49895833333333334,1440,panmao,39
1212,0.49930555555555556,1440,panmao,39
1213,0.4777777777777778,1440,panmao,40
1214,0.9993055555555556,1440,panmao,40
1215,0.9994215277777777,1440,panmao,40
1216,0.08611111111111111,1440,panmao,40
1217,0.0008104166666666666,1440,panmao,40
1218,0.0006944444444444445,1440,panmao,40
1219,0.0006944444444444445,1440,panmao,41
1220,0.5956020833333333,1440,panmao,41
1221,0.6201388888888889,1440,panmao,41
1222,0.9991895833333334,1440,panmao,41
1223,0.07766180555555556,1440,panmao,41
1224,0.2777777777777778,1440,panmao,41
1225,0.5854166666666667,1440,panmao,42
1226,0.38379652777777773,1440,panmao,42
