ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1123,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1124,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1125,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1126,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1127,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1128,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,1.0,E:\track.trk
1129,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1130,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1131,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1132,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1133,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1134,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,1.0,E:\track.trk
1135,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1136,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1137,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1138,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1139,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1140,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.0,E:\track.trk
1141,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1142,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1143,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1144,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1145,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1146,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.0,E:\track.trk
1147,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1148,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1149,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1150,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1151,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1152,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.0,E:\track.trk
1153,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1154,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1155,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1156,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1157,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1158,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,0.5,E:\track.trk
1159,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1160,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1161,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1162,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1163,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1164,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.5,0.5,E:\track.trk
1165,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1166,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1167,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1168,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1169,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1170,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,1.0,0.5,E:\track.trk
1171,Mid-wave Infarared - MWIR,0,0,70,320,256,10,8,0.0,1.0,E:\track.trk
